Date,Open,High,Low,Close,Adj Close,Volume
10-03-2014,608,611.4000244,592.9000244,597,565.5518799,2709056
11-03-2014,596,596,578,580.25,549.6842041,3466509
12-03-2014,581.7999878,607.4500122,581.7999878,604.2999878,572.4672852,2633927
13-03-2014,610.8499756,610.8499756,565.5,572.9500122,542.7687378,8061906
14-03-2014,570,583.75,552.5499878,582.0499878,551.3894043,7116344
18-03-2014,585,586,571.4500122,579.3499756,548.831604,2274732
19-03-2014,581.1500244,587.6500244,578,585.2999878,554.4682617,1529578
20-03-2014,581,595.9000244,581,590.2000122,559.1102905,2142868
21-03-2014,590.0499878,592.9500122,579.2000122,580.4000244,549.826416,3117102
24-03-2014,580.0499878,587.7999878,579,579.2999878,548.7844238,2238185
25-03-2014,581,585.9000244,575.0999756,579.2999878,548.7844238,1847387
26-03-2014,583.7000122,584,563.25,566.5999756,536.7532349,2802852
27-03-2014,568.9500122,573.75,556,560.5499878,531.0220337,4290306
28-03-2014,566,570.8499756,559.1500244,563.2000122,533.5323486,2223819
31-03-2014,568,577,566,574.75,544.473999,2390417
01-04-2014,575,578,570.25,572.0999756,541.963562,1186522
02-04-2014,572,581.5,570.0999756,575.25,544.9476318,3765317
03-04-2014,578.3499756,582.7999878,575.2000122,578.5499878,548.0737915,2438673
04-04-2014,580,584.5999756,570.2000122,571.7999878,541.6793213,2519378
07-04-2014,580,594.7999878,573.75,588.0999756,557.1207886,10031924
09-04-2014,597,634.9000244,593,630,596.8135986,13263006
10-04-2014,633.7999878,643,611,615.4000244,582.982666,6187333
11-04-2014,620,634.5,617.0999756,628.1500244,595.0611572,4707211
15-04-2014,632,633.9000244,614.5,616.4000244,583.9301147,2743702
16-04-2014,617.4000244,623.7000122,612.0999756,613.8499756,581.5142822,1792061
17-04-2014,614.5,626,614.0999756,625.0499878,592.1243286,2033985
21-04-2014,628.7000122,629.25,619.4000244,621.25,588.5246582,1324788
22-04-2014,616.7000122,623.3499756,616.7000122,619.9500122,587.2929077,1194987
23-04-2014,616.5,635,616.5,625.5999756,592.6453857,3220766
24-04-2014,625.5999756,625.5999756,625.5999756,625.5999756,592.6453857,0
25-04-2014,627,632.7000122,621,622,589.2349243,1463948
28-04-2014,621.0999756,638.7999878,621.0999756,636.6500244,603.1132202,2305579
29-04-2014,639,643.9500122,632.5,639.4500122,605.7658081,3027198
30-04-2014,628,637,622.4500122,632.7999878,599.4661865,2049214
02-05-2014,631.5999756,641.4000244,628.5999756,629.9000244,596.7188721,1531545
05-05-2014,622.2999878,634.9000244,622.2999878,626.5999756,593.5925903,1359208
